"Layer name","Shapefile name","Attribute name","Description"
"Scrub","HIA_SCRUB","SC_I_06_GR","Height of, and signs of grazing on, field layer herbs"
"Scrub","HIA_SCRUB","SC_I_07_GR","Degree of browsing of any dwarf shrubs present"
"Scrub","HIA_SCRUB","SC_I_09_TR","Herbivore dung and tracks"
"Scrub","HIA_SCRUB","SC_T_01_GR","Form and extent of shrub layer"
"Scrub","HIA_SCRUB","SC_T_02_GR","Extent of field layer"
"Scrub","HIA_SCRUB","SC_T_03_GR","Composition of herbs in field layer"
"Scrub","HIA_SCRUB","MEDIAN_GRAZE","Median grazing score"
"Scrub","HIA_SCRUB","MEDIAN_TRAMP","Median trampling score"
"Scrub","HIA_SCRUB","HERBIVORES","Sign of herbivores"
"Scrub","HIA_SCRUB","NOTES","Field notes and other observations"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_Q_03_GR","Record the percentage of long-shoots of Vaccinium spp. browsed"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_I_03_DU","Amount of dung for sheep and deer"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_I_04_DU","Amount of dung for mountain hare"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_I_06_GR","Browsing of any dwarf-shrubs present"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_I_08_TR","Presence of bare soil (not gravel) at the face or foot of terraces on terraced ground"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","WC_T_02_GR","Collective cover of broad-leaved grasses such as Agrostis capillaris, A. vinealis, Anthoxanthum odoratum or Poa spp."
"Wind-clipped heath","HIA_WCLIPPED_HEATH","MEDIAN_GRAZE","Median grazing score"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","MEDIAN_TRAMP","Median trampling score"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","MEDIAN_DUNG","Median dunging score"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","HERBIVORES","Sign of herbivores"
"Wind-clipped heath","HIA_WCLIPPED_HEATH","NOTES","Field notes and other observations"
"Flushes","HIA_FLUSH","FL_Q_04_GR","Record percentage of leaves of sedges and grasses grazed."
"Scrub","HIA_SCRUB","SC_Q_01_GR","Record the average height of willows from 10 measures within the plot."
